          atime            Tm             uf             Tx             Ty             Tz 
  1.0000000E+00  1.7189378E-04  1.3110827E-02  1.7188227E-04  1.3994622E-10  0.0000000E+00
  1.0000000E+00  6.4375258E-06  2.5353503E-03 -5.2497125E-06  2.8233957E-10  0.0000000E+00
  1.0000000E+00  1.9031772E-03  4.3625397E-02 -1.9026560E-03  2.1429063E-07  0.0000000E+00
  1.0000000E+00  2.0536653E-04  1.4330615E-02 -2.0334621E-04  1.1971863E-08  0.0000000E+00
  1.0000000E+00  7.3867958E-04  2.7178658E-02  7.3848605E-04 -3.4046348E-07  0.0000000E+00
  1.0000000E+00  2.4485472E-03  4.9482797E-02 -2.4464441E-03  5.1528857E-07  0.0000000E+00
  1.0000000E+00  5.2757440E-04  2.2969128E-02 -4.8970373E-04  2.3270084E-08  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  1.1711987E-03  3.4222790E-02  3.6366705E-04  2.0239068E-06  0.0000000E+00
  1.0000000E+00  1.0067165E-03  3.1728811E-02 -3.9882584E-04  5.3548389E-07  0.0000000E+00
  1.0000000E+00  6.5307150E-04  2.5554973E-02 -5.2677494E-04  5.8849030E-07  0.0000000E+00
  1.0000000E+00  5.1179357E-04  2.2621145E-02  1.8326058E-04 -5.0872294E-07  0.0000000E+00
  1.0000000E+00  4.0916449E-03  6.3968926E-02 -3.5914319E-03  7.3784550E-06  0.0000000E+00
  1.0000000E+00  2.6059090E-03  5.1058924E-02  1.9883777E-03  3.1053859E-06  0.0000000E+00
  1.0000000E+00  3.1452562E-03  5.6084006E-02  3.1026764E-03  1.8981254E-07  0.0000000E+00
  1.0000000E+00  8.9754102E-04  2.9940357E-02  8.3821570E-04 -3.0326306E-07  0.0000000E+00
  1.0000000E+00  1.1810674E-03  3.4385338E-02  1.0381203E-03  2.5134565E-07  0.0000000E+00
  1.0000000E+00 -9.2731511E-06 -7.0728958E-04 -9.2725303E-06 -7.5496769E-12  0.0000000E+00
  1.0000000E+00 -3.3453254E-07 -1.3175204E-04  2.7280662E-07 -1.4672062E-11  0.0000000E+00
  1.0000000E+00 -9.5115742E-05 -2.1802814E-03  9.5089690E-05 -1.0709676E-08  0.0000000E+00
  1.0000000E+00 -1.0058905E-05 -7.0191718E-04  9.9599492E-06 -5.8638489E-10  0.0000000E+00
  1.0000000E+00 -3.5811967E-05 -1.3176501E-03 -3.5802584E-05  1.6506029E-08  0.0000000E+00
  1.0000000E+00 -1.1748480E-04 -2.3742555E-03  1.1738389E-04 -2.4724283E-08  0.0000000E+00
  1.0000000E+00 -2.5108013E-05 -1.0931334E-03  2.3305694E-05 -1.1074563E-09  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00 -5.5739005E-05 -1.6287110E-03 -1.7307430E-05 -9.6320590E-08  0.0000000E+00
  1.0000000E+00 -4.8303701E-05 -1.5223938E-03  1.9136235E-05 -2.5693284E-08  0.0000000E+00
  1.0000000E+00 -3.1661597E-05 -1.2389321E-03  2.5538606E-05 -2.8530631E-08  0.0000000E+00
  1.0000000E+00 -2.5067779E-05 -1.1079894E-03 -8.9761500E-06  2.4917379E-08  0.0000000E+00
  1.0000000E+00 -2.0448954E-04 -3.1969970E-03  1.7949022E-04 -3.6875558E-07  0.0000000E+00
  1.0000000E+00 -1.3541870E-04 -2.6533286E-03 -1.0332806E-04 -1.6137452E-07  0.0000000E+00
  1.0000000E+00 -1.6967709E-04 -3.0255630E-03 -1.6738004E-04 -1.0239815E-08  0.0000000E+00
  1.0000000E+00 -5.0190369E-05 -1.6742606E-03 -4.6872906E-05  1.6958428E-08  0.0000000E+00
  1.0000000E+00 -6.6045125E-05 -1.9228233E-03 -5.8051541E-05 -1.4055214E-08  0.0000000E+00
  1.0000000E+00 -1.7081247E-05 -1.3028352E-03 -1.7080103E-05 -1.3906588E-11  0.0000000E+00
  1.0000000E+00 -6.4841418E-07 -2.5537095E-04  5.2877272E-07 -2.8438408E-11  0.0000000E+00
  1.0000000E+00 -1.9420970E-04 -4.4517531E-03  1.9415650E-04 -2.1867284E-08  0.0000000E+00
  1.0000000E+00 -2.1089778E-05 -1.4716589E-03  2.0882304E-05 -1.2294307E-09  0.0000000E+00
  1.0000000E+00 -7.6094726E-05 -2.7997966E-03 -7.6074790E-05  3.5072684E-08  0.0000000E+00
  1.0000000E+00 -2.5301742E-04 -5.1132400E-03  2.5280010E-04 -5.3246669E-08  0.0000000E+00
  1.0000000E+00 -5.4646817E-05 -2.3791711E-03  5.0724126E-05 -2.4103445E-09  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.0000000E+00 -1.2131423E-04 -3.5448394E-03 -3.7669088E-05 -2.0963880E-07  0.0000000E+00
  1.0000000E+00 -1.0402773E-04 -3.2786551E-03  4.1212146E-05 -5.5333526E-08  0.0000000E+00
  1.0000000E+00 -6.7275851E-05 -2.6325334E-03  5.4265471E-05 -6.0623049E-08  0.0000000E+00
  1.0000000E+00 -5.2557797E-05 -2.3230413E-03 -1.8819644E-05  5.2242464E-08  0.0000000E+00
  1.0000000E+00 -4.1753185E-04 -6.5277083E-03  3.6648762E-04 -7.5293435E-07  0.0000000E+00
