x,y,z,u,v,w,uu,vv,ww
-2.2462,0,1.6,1.0549721,4.7887876e-05,0.030939265,4.2705599e-07,5.6615172e-07,1.191856e-07
-2.2222,0,1.6,1.0544876,4.9304696e-05,0.031613507,3.8331259e-07,5.8927878e-07,1.2168765e-07
-2.1982,0,1.6,1.0539942,5.0773361e-05,0.03230835,6.1391385e-07,6.1342468e-07,1.2423993e-07
-2.1742,0,1.6,1.0534922,5.2295863e-05,0.033024505,2.3876298e-07,6.3863799e-07,1.2700503e-07
-2.1502,0,1.6,1.052981,5.3874279e-05,0.033762801,6.5383654e-07,6.6496979e-07,1.2973163e-07
-2.1261,0,1.6,1.052459,5.5517588e-05,0.034527124,4.9374031e-07,6.9259188e-07,1.3257001e-07
-2.1021,0,1.6,1.0519302,5.7214356e-05,0.035312171,5.840684e-07,7.2133165e-07,1.3588036e-07
-2.0781,0,1.6,1.0513925,5.8973492e-05,0.036121708,6.416744e-07,7.5136136e-07,1.3894753e-07
-2.0541,0,1.6,1.0508461,6.0797216e-05,0.036956715,4.5850472e-07,7.8274417e-07,1.4241828e-07
-2.03,0,1.6,1.0502884,6.2695908e-05,0.037821728,6.8069076e-07,8.1568687e-07,1.4602174e-07
-2.006,0,1.6,1.0497243,6.4656123e-05,0.038710555,7.4179105e-07,8.4998694e-07,1.498457e-07
-1.982,0,1.6,1.0491516,6.6687927e-05,0.039627753,7.1722893e-07,8.8585226e-07,1.5368838e-07
-1.958,0,1.6,1.0485703,6.8793779e-05,0.040574234,6.9725288e-07,9.2336191e-07,1.5787837e-07
-1.9339,0,1.6,1.0479781,7.0985309e-05,0.041555358,7.0397472e-07,9.6276625e-07,1.6241515e-07
-1.9099,0,1.6,1.0473799,7.3246785e-05,0.042564024,9.8996931e-07,1.0038265e-06,1.6697139e-07
-1.8859,0,1.6,1.0467737,7.5589574e-05,0.043605397,5.8422649e-07,1.046796e-06,1.7199484e-07
-1.8619,0,1.6,1.0461596,7.8016118e-05,0.04468066,7.8375848e-07,1.0917736e-06,1.7736922e-07
-1.8378,0,1.6,1.045535,8.053948e-05,0.045796002,7.9292405e-07,1.1390644e-06,1.8324318e-07
-1.8138,0,1.6,1.0449055,8.3141113e-05,0.046943305,1.178264e-06,1.1883874e-06,1.8958274e-07
-1.7898,0,1.6,1.0442692,8.5833628e-05,0.048128467,1.1199017e-06,1.2400523e-06,1.9586396e-07
-1.7658,0,1.6,1.043626,8.8619304e-05,0.049353058,1.114934e-06,1.2941841e-06,2.0274498e-07
-1.7417,0,1.6,1.0429737,9.1512588e-05,0.050623827,1.3013227e-06,1.3511571e-06,2.1007702e-07
-1.7177,0,1.6,1.0423185,9.4491539e-05,0.051931882,1.1608532e-06,1.4106406e-06,2.1834044e-07
-1.6937,0,1.6,1.041658,9.7570008e-05,0.053283981,1.1934007e-06,1.4730145e-06,2.2670697e-07
-1.6697,0,1.6,1.0409928,0.00010074978,0.05468184,1.365231e-06,1.538439e-06,2.3588103e-07
-1.6456,0,1.6,1.040321,0.00010404655,0.05613335,1.467226e-06,1.6073767e-06,2.4574887e-07
-1.6216,0,1.6,1.039649,0.00010743444,0.057628359,1.5452134e-06,1.6794363e-06,2.5613037e-07
-1.5976,0,1.6,1.0389749,0.00011092818,0.059174629,1.7240044e-06,1.75509e-06,2.6702391e-07
-1.5736,0,1.6,1.0382998,0.00011452879,0.060774149,1.7478432e-06,1.8345428e-06,2.7979815e-07
-1.5495,0,1.6,1.0376221,0.00011825273,0.062435969,1.8872446e-06,1.9183695e-06,2.9280664e-07
-1.5255,0,1.6,1.0369488,0.00012206951,0.064148384,1.9516886e-06,2.0061088e-06,3.0718212e-07
-1.5015,0,1.6,1.0362785,0.0001259944,0.065920428,2.1344646e-06,2.0983491e-06,3.2284929e-07
-1.4775,0,1.6,1.0356132,0.00013002701,0.067754283,2.2442307e-06,2.1953558e-06,3.3887963e-07
-1.4535,0,1.6,1.0349547,0.0001341665,0.069652185,2.3552273e-06,2.2974127e-06,3.5650049e-07
-1.4294,0,1.6,1.0343022,0.00013842947,0.071624838,2.47406e-06,2.405282e-06,3.7626445e-07
-1.4054,0,1.6,1.0336639,0.00014277846,0.073658179,2.6255973e-06,2.5183945e-06,3.977658e-07
-1.3814,0,1.6,1.0330396,0.00014722843,0.075762723,2.7607226e-06,2.6375321e-06,4.184922e-07
-1.3574,0,1.6,1.0324323,0.00015177595,0.077940743,3.1305445e-06,2.7630658e-06,4.4350199e-07
-1.3333,0,1.6,1.0318431,0.00015643648,0.080204107,3.1527082e-06,2.8959574e-06,4.7036732e-07
-1.3093,0,1.6,1.0312804,0.00016116623,0.082536451,3.3380622e-06,3.0355298e-06,4.9939078e-07
-1.2853,0,1.6,1.0307459,0.00016597831,0.084949121,3.519356e-06,3.1827752e-06,5.3142681e-07
-1.2613,0,1.6,1.0302438,0.00017086538,0.087444317,3.8203456e-06,3.3381788e-06,5.657383e-07
-1.2372,0,1.6,1.0297775,0.00017583993,0.090034887,4.1436085e-06,3.5029652e-06,6.0361925e-07
-1.2132,0,1.6,1.0293563,0.00018085119,0.092701091,4.4945479e-06,3.6763256e-06,6.4401533e-07
-1.1892,0,1.6,1.028984,0.00018590822,0.09545506,4.7179104e-06,3.8595251e-06,6.8971006e-07
-1.1652,0,1.6,1.028667,0.00019099814,0.098297997,5.1752422e-06,4.0532037e-06,7.3956839e-07
-1.1411,0,1.6,1.0284115,0.00019612775,0.1012431,5.1301799e-06,4.2589278e-06,7.9368976e-07
-1.1171,0,1.6,1.028227,0.00020123782,0.10426629,5.7001934e-06,4.4757316e-06,8.5474528e-07
-1.0931,0,1.6,1.0281205,0.00020633092,0.10737944,6.1726393e-06,4.7052356e-06,9.2245724e-07
-1.0691,0,1.6,1.028101,0.00021138595,0.11058171,6.4532214e-06,4.9482911e-06,9.968742e-07
-1.045,0,1.6,1.028178,0.00021640002,0.11388542,6.945393e-06,5.2069164e-06,1.0773094e-06
-1.021,0,1.6,1.0283607,0.00022130514,0.1172607,7.5108632e-06,5.4799486e-06,1.1687827e-06
-0.997,0,1.6,1.0286598,0.00022609291,0.12071766,7.9041931e-06,5.769484e-06,1.2715091e-06
-0.97297,0,1.6,1.0290865,0.0002307366,0.12425624,8.5530406e-06,6.0770532e-06,1.3847884e-06
-0.94895,0,1.6,1.0296515,0.00023519235,0.12786489,9.1352779e-06,6.4033889e-06,1.5140034e-06
-0.92492,0,1.6,1.0303668,0.00023942423,0.13153946,9.7760066e-06,6.7500778e-06,1.6572236e-06
-0.9009,0,1.6,1.0312433,0.00024338534,0.13526827,1.0442183e-05,7.1182498e-06,1.8205557e-06
-0.87688,0,1.6,1.0322928,0.00024703011,0.1390426,1.1393984e-05,7.5095686e-06,2.0041565e-06
