x,y,z,u,v,w,uvar,vvar,wvar
3,0,0,0,0,0,0,0,0
3,0,0.003003,0.07094053,0.017500792,0.00086443222,0.0097004526,0.016231737,0.00018279513
3,0,0.006006,0.1244534,0.02226892,0.0024486266,0.01769479,0.036235267,0.0010174282
3,0,0.009009,0.16043415,0.021708883,0.0038999432,0.021824946,0.050287937,0.0021374521
3,0,0.012012,0.18213999,0.020071036,0.0048737169,0.023198197,0.057869072,0.0032759389
3,0,0.015015,0.19402091,0.019195925,0.0053247563,0.023437929,0.061527695,0.0043137092
3,0,0.018018,0.20032996,0.019317147,0.005361973,0.023489257,0.06368844,0.0052552467
3,0,0.021021,0.20436015,0.019837932,0.0051537833,0.023494604,0.065585672,0.0061648959
3,0,0.024024,0.20815505,0.019996697,0.004871924,0.023254355,0.06751585,0.007095939
3,0,0.027027,0.21254043,0.019336788,0.0046613221,0.022787667,0.069598144,0.0080451478
3,0,0.03003,0.2173242,0.017895641,0.0046236625,0.022508566,0.072233334,0.0089654077
3,0,0.033033,0.22151179,0.016028586,0.0048022919,0.022532416,0.075451022,0.0098690102
3,0,0.036036,0.22431271,0.013457845,0.0050309207,0.022116766,0.078470267,0.010836758
3,0,0.039039,0.22669706,0.01054383,0.0051083794,0.021788955,0.08089626,0.011795126
3,0,0.042042,0.22916638,0.0082181894,0.0048558559,0.021656143,0.082334208,0.01273124
3,0,0.045045,0.23208831,0.0068554683,0.0041947223,0.021607486,0.082961448,0.013674986
3,0,0.048048,0.23559318,0.0065447927,0.0031355286,0.021468909,0.083097927,0.014668794
3,0,0.051051,0.23958661,0.0072054081,0.0017387536,0.021148938,0.083082908,0.015736522
3,0,0.054054,0.24381385,0.008663538,9.7916784e-05,0.020684344,0.083160005,0.01687641
3,0,0.057057,0.24795699,0.010701782,-0.0016660965,0.020214355,0.083394267,0.018069219
3,0,0.06006,0.25174658,0.013092275,-0.0034106479,0.019912182,0.08364502,0.019292701
3,0,0.063063,0.25506887,0.01562483,-0.0049880449,0.0199026,0.083618198,0.020533484
3,0,0.066066,0.25805005,0.018141283,-0.006284478,0.020194357,0.083021858,0.021787528
3,0,0.069069,0.26109878,0.020587273,-0.0072923427,0.020656135,0.081848622,0.023040243
3,0,0.072072,0.26500101,0.023185585,-0.0079735908,0.021133112,0.08014043,0.024268685
3,0,0.075075,0.26826504,0.025114033,-0.0082434598,0.021649354,0.078646375,0.025451162
3,0,0.078078,0.27064063,0.026254568,-0.0080220161,0.022110407,0.077487518,0.026584229
3,0,0.081081,0.27245001,0.026791711,-0.0074862546,0.02258994,0.076526427,0.027612233
3,0,0.084084,0.27401029,0.026896498,-0.0069744103,0.023140694,0.075647252,0.028481177
3,0,0.087087,0.2754771,0.026661442,-0.0068416402,0.02372177,0.074786673,0.029175769
