x,y,z,u,v,w,uu,vv,ww
-4,0,1.5,1,-7.9452203268732e-05,0.00821122420381758,-3.38320303299236e-08,3.85996505226981e-09,4.8729922563095e-08
-3.976,0,1.5,0.999897608615332,-8.07259935022879e-05,0.00832645930780036,-2.39979721907223e-08,3.99084034498811e-09,5.02702979085965e-08
-3.952,0,1.5,0.999793523255549,-8.20216698943167e-05,0.0084436957492706,1.83629556048127e-08,4.12629363544385e-09,5.18530292540584e-08
-3.9279,2.22044604925031e-16,1.5,0.99968727337201,-8.33452554674458e-05,0.00856347164765619,1.40565175369843e-07,4.26708172361124e-09,5.34870804058458e-08
-3.9039,0,1.5,0.999579894171728,-8.4686235341704e-05,0.00868482040193512,6.6827759933294e-08,4.41220690888064e-09,5.51666236941749e-08
-3.8799,0,1.5,0.999470726886604,-8.60505045504877e-05,0.00880828022564501,-6.31553147697753e-08,4.56242457416369e-09,5.68938741649621e-08
-3.8559,2.22044604925031e-16,1.5,0.999359865626365,-8.74385515232883e-05,0.00893389883241824,-1.06574901663687e-07,4.71791964612466e-09,5.86487360997582e-08
-3.8318,0,1.5,0.999246557513184,-8.88568293641928e-05,0.00906222544663065,-1.34543695710858e-08,4.87956264400829e-09,6.04726346655538e-08
-3.8078,0,1.5,0.999132025973532,-9.02940712564985e-05,0.00919225328240617,4.11676388971838e-08,5.04621504661291e-09,6.2345931146576e-08
-3.7838,0,1.5,0.99901551812958,-9.17566409000504e-05,0.00932455113894417,7.05293540737009e-08,5.2187415278002e-09,6.4268891242055e-08
-3.7598,0,1.5,0.998897222200786,-9.3245103894317e-05,0.00945916644754785,1.4971688423049e-08,5.3973548240872e-09,6.62252630157397e-08
-3.7357,0,1.5,0.998776385309321,-9.47663321316776e-05,0.00959670781583178,2.17303116271809e-08,5.58307096933044e-09,6.82489647457016e-08
-3.7117,0,1.5,0.998654136771927,-9.63082729791959e-05,0.00973608620601711,-1.90102928101304e-09,5.77458112912163e-09,7.03259320860185e-08
-3.6877,0,1.5,0.998529817820505,-9.78778067991267e-05,0.00987791427243675,4.1620130885972e-08,5.97288087847658e-09,7.24462163718453e-08
-3.6637,0,1.5,0.998403428455055,-9.94755547156785e-05,0.0100222334233712,1.23276020176875e-07,6.17821838047634e-09,7.46135471347109e-08
-3.6396,0,1.5,0.998274404017205,-0.000101108970219353,0.0101697184255744,1.14413826054164e-07,6.39175757488231e-09,7.68479235556772e-08
-3.6156,-2.22044604925031e-16,1.5,0.998143685604242,-0.000102765160277338,0.0103191882019527,1.48793623688528e-07,6.61199876667246e-09,7.91379905353069e-08
-3.5916,0,1.5,0.99801089677725,-0.000104451484270406,0.0104713099904817,1.62628343479065e-07,6.84009606473663e-09,8.1467156927998e-08
-3.5676,0,1.5,0.997875755207044,-0.00010616867625444,0.0106261477857769,8.90925919869584e-08,7.07633474148174e-09,8.38440739006881e-08
-3.5435,0,1.5,0.997737790344982,-0.000107924782611233,0.0107843914121485,3.64453407934436e-08,7.32206109490752e-09,8.62989009730044e-08
-3.5195,0,1.5,0.997597943288348,-0.000109705893922902,0.0109448146198334,1.33898639976264e-07,7.57556747606108e-09,8.87792440280671e-08
