          atime            Tm             uf             Tx             Ty             Tz 
  1.8000000E+01  1.6640597E-04  1.2899844E-02  1.6640247E-04  4.2879228E-11  0.0000000E+00
  1.8000000E+01  1.9743768E-05  4.4565073E-03 -1.9601738E-05  1.9094953E-10  0.0000000E+00
  1.8000000E+01  7.4091510E-04  2.7221372E-02 -7.4014382E-04 -6.5273255E-07  0.0000000E+00
  1.8000000E+01  2.9380058E-04  1.7140882E-02  6.7707225E-07  3.7735488E-07  0.0000000E+00
  1.8000000E+01  1.2793913E-04  1.1309369E-02 -1.2505539E-04 -1.8097755E-08  0.0000000E+00
  1.8000000E+01  6.9070679E-04  2.6281248E-02 -6.9036607E-04  3.5732262E-08  0.0000000E+00
  1.8000000E+01  2.9475706E-03  5.4291524E-02 -2.9436705E-03  8.1717870E-07  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  3.9617256E-04  1.9904097E-02  1.0039630E-04 -8.8139566E-09  0.0000000E+00
  1.8000000E+01  6.4786547E-04  2.5453202E-02 -6.4774591E-04 -5.5198086E-08  0.0000000E+00
  1.8000000E+01  1.4837397E-03  3.8519336E-02 -1.4718939E-03  1.8175696E-07  0.0000000E+00
  1.8000000E+01  1.8944299E-03  4.3525049E-02 -1.8738730E-03  8.6576019E-07  0.0000000E+00
  1.8000000E+01  3.0909315E-03  5.5596119E-02 -3.0888495E-03 -2.0331692E-07  0.0000000E+00
  1.8000000E+01  8.3737565E-04  2.9004358E-02 -8.3043558E-04  1.7951693E-06  0.0000000E+00
  1.8000000E+01  2.1897421E-03  4.6794384E-02  2.1574163E-03 -5.7648272E-07  0.0000000E+00
  1.8000000E+01  2.0265271E-03  4.5016859E-02  2.0264911E-03 -2.0776872E-08  0.0000000E+00
  1.8000000E+01  1.9913766E-03  4.4625099E-02  1.9856531E-03  6.1278152E-08  0.0000000E+00
  1.8000000E+01 -8.9771012E-06 -6.9590775E-04 -8.9769124E-06 -2.3132053E-12  0.0000000E+00
  1.8000000E+01 -1.0260048E-06 -2.3158690E-04  1.0186241E-06 -9.9228852E-12  0.0000000E+00
  1.8000000E+01 -3.7028973E-05 -1.3604520E-03  3.6990426E-05  3.2621842E-08  0.0000000E+00
  1.8000000E+01 -1.4390432E-05 -8.3956504E-04 -3.3163183E-08 -1.8482944E-08  0.0000000E+00
  1.8000000E+01 -6.2026258E-06 -5.4829030E-04  6.0628188E-06  8.7739852E-10  0.0000000E+00
  1.8000000E+01 -3.3141101E-05 -1.2610119E-03  3.3124753E-05 -1.7144851E-09  0.0000000E+00
  1.8000000E+01 -1.4027907E-04 -2.5838106E-03  1.4009345E-04 -3.8890693E-08  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.8000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
