"EP3 Case 1, Bldg = (1,1,1,0), Centerplane velocities (y=0), U & W",,,
,,,
,,,
"x, mm","z, mm","U, m/s","W, m/s"
120,280,3.306,-0.255
150,280,3.311,-0.258
200,280,3.205,-0.284
300,280,3.215,-0.320
400,280,3.175,-0.294
600,280,3.133,-0.236
800,280,3.092,-0.174
1200,280,3.039,-0.128
1600,280,3.087,-0.117
-800,320,3.313,-0.106
-600,320,3.278,-0.089
-400,320,3.237,-0.045
-300,320,3.240,0.012
-200,320,3.244,0.116
-150,320,3.364,0.155
-120,320,3.396,0.164
-80,320,3.579,0.146
-40,320,3.592,0.055
0,320,3.593,-0.024
40,320,3.568,-0.100
80,320,3.506,-0.152
120,320,3.514,-0.208
150,320,3.476,-0.205
200,320,3.428,-0.253
300,320,3.359,-0.264
400,320,3.298,-0.274
600,320,3.227,-0.209
800,320,3.207,-0.176
1200,320,3.161,-0.145
1600,320,3.200,-0.143
-800,360,3.389,-0.126
-600,360,3.335,-0.112
-400,360,3.306,-0.048
-300,360,3.293,-0.037
-200,360,3.346,0.035
-150,360,3.402,0.054
-120,360,3.432,0.069
-80,360,3.474,0.050
-40,360,3.533,-0.014
0,360,3.566,-0.041
40,360,3.535,-0.103
80,360,3.531,-0.161
120,360,3.502,-0.168
150,360,3.470,-0.197
200,360,3.453,-0.196
300,360,3.415,-0.251
400,360,3.387,-0.251
600,360,3.313,-0.231
800,360,3.330,-0.161
1200,360,3.297,-0.165
1600,360,3.265,-0.154
-800,400,3.409,-0.110
-600,400,3.396,-0.112
-400,400,3.400,-0.069
-300,400,3.351,-0.066
-200,400,3.375,-0.002
-150,400,3.445,-0.017
-120,400,3.468,-0.012
-80,400,3.488,-0.022
-40,400,3.537,-0.047
0,400,3.555,-0.075
40,400,3.573,-0.105
80,400,3.513,-0.140
120,400,3.546,-0.165
150,400,3.560,-0.158
200,400,3.495,-0.209
300,400,3.463,-0.225
400,400,3.404,-0.216
600,400,3.369,-0.189
800,400,3.368,-0.182
1200,400,3.330,-0.167
1600,400,3.333,-0.162
