          atime           uavg           vavg           wavg         pm1avg           tavg
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9760650E-01  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7172099E-01  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6591470E-01  0.0000000E+00
  3.0000000E+01  7.0940530E-02  8.6443222E-04  1.7500792E-02  7.9762147E-01  0.0000000E+00
  3.0000000E+01  1.5811299E-01 -1.1439682E-03 -8.8473916E-03  7.7168649E-01  0.0000000E+00
  3.0000000E+01  1.6588435E-01 -2.5056517E-04 -2.2261322E-02  7.6590102E-01  0.0000000E+00
  3.0000000E+01  1.2445340E-01  2.4486266E-03  2.2268920E-02  7.9696212E-01  0.0000000E+00
  3.0000000E+01  2.8204771E-01 -3.5341502E-03 -1.3942683E-02  7.7161073E-01  0.0000000E+00
  3.0000000E+01  2.9819859E-01 -6.7900834E-04 -3.2568002E-02  7.6584266E-01  0.0000000E+00
  3.0000000E+01  1.6043415E-01  3.8999432E-03  2.1708883E-02  7.9596751E-01  0.0000000E+00
  3.0000000E+01  3.6674934E-01 -6.0960843E-03 -1.7336036E-02  7.7146387E-01  0.0000000E+00
  3.0000000E+01  3.9315809E-01 -1.0669047E-03 -3.5510076E-02  7.6570052E-01  0.0000000E+00
  3.0000000E+01  1.8213999E-01  4.8737169E-03  2.0071036E-02  7.9484732E-01  0.0000000E+00
  3.0000000E+01  4.1807609E-01 -8.2541324E-03 -1.9913213E-02  7.7126085E-01  0.0000000E+00
  3.0000000E+01  4.5561776E-01 -1.4278897E-03 -3.4434607E-02  7.6547939E-01  0.0000000E+00
  3.0000000E+01  1.9402091E-01  5.3247563E-03  1.9195925E-02  7.9370440E-01  0.0000000E+00
  3.0000000E+01  4.4667936E-01 -9.7798091E-03 -2.1884363E-02  7.7102766E-01  0.0000000E+00
  3.0000000E+01  4.9446881E-01 -1.8879037E-03 -3.1612523E-02  7.6520392E-01  0.0000000E+00
  3.0000000E+01  2.0032996E-01  5.3619730E-03  1.9317147E-02  7.9257156E-01  0.0000000E+00
  3.0000000E+01  4.6351796E-01 -1.0665906E-02 -2.3140709E-02  7.7078356E-01  0.0000000E+00
  3.0000000E+01  5.1918951E-01 -2.5920496E-03 -2.8411108E-02  7.6490297E-01  0.0000000E+00
  3.0000000E+01  2.0436015E-01  5.1537833E-03  1.9837932E-02  7.9145229E-01  0.0000000E+00
  3.0000000E+01  4.7692055E-01 -1.1025206E-02 -2.3500754E-02  7.7053538E-01  0.0000000E+00
  3.0000000E+01  5.3750320E-01 -3.6390494E-03 -2.5478448E-02  7.6460071E-01  0.0000000E+00
  3.0000000E+01  2.0815505E-01  4.8719240E-03  1.9996697E-02  7.9035506E-01  0.0000000E+00
  3.0000000E+01  4.9111080E-01 -1.1012590E-02 -2.2867619E-02  7.7027966E-01  0.0000000E+00
  3.0000000E+01  5.5409664E-01 -5.0442835E-03 -2.2946159E-02  7.6431299E-01  0.0000000E+00
  3.0000000E+01  2.1254043E-01  4.6613221E-03  1.9336788E-02  7.8931071E-01  0.0000000E+00
  3.0000000E+01  5.0610951E-01 -1.0769323E-02 -2.1319126E-02  7.7000888E-01  0.0000000E+00
  3.0000000E+01  5.7035217E-01 -6.7323995E-03 -2.0656707E-02  7.6404739E-01  0.0000000E+00
  3.0000000E+01  2.1732420E-01  4.6236625E-03  1.7895641E-02  7.8836265E-01  0.0000000E+00
  3.0000000E+01  5.1892812E-01 -1.0388328E-02 -1.9152252E-02  7.6971762E-01  0.0000000E+00
  3.0000000E+01  5.8504656E-01 -8.5604739E-03 -1.8421634E-02  7.6380539E-01  0.0000000E+00
  3.0000000E+01  2.2151179E-01  4.8022919E-03  1.6028586E-02  7.8751945E-01  0.0000000E+00
  3.0000000E+01  5.2596797E-01 -9.8992352E-03 -1.6903552E-02  7.6940466E-01  0.0000000E+00
  3.0000000E+01  5.9597009E-01 -1.0372713E-02 -1.6317001E-02  7.6358510E-01  0.0000000E+00
  3.0000000E+01  2.2431271E-01  5.0309207E-03  1.3457845E-02  7.8672032E-01  0.0000000E+00
  3.0000000E+01  5.3051417E-01 -9.3125218E-03 -1.4630994E-02  7.6907590E-01  0.0000000E+00
  3.0000000E+01  6.0551808E-01 -1.2059169E-02 -1.4130260E-02  7.6338708E-01  0.0000000E+00
  3.0000000E+01  2.2669706E-01  5.1083794E-03  1.0543830E-02  7.8598118E-01  0.0000000E+00
  3.0000000E+01  5.3469357E-01 -8.6490494E-03 -1.2235663E-02  7.6872603E-01  0.0000000E+00
  3.0000000E+01  6.1497833E-01 -1.3557156E-02 -1.1928133E-02  7.6321041E-01  0.0000000E+00
  3.0000000E+01  2.2916638E-01  4.8558559E-03  8.2181894E-03  7.8527481E-01  0.0000000E+00
  3.0000000E+01  5.3807479E-01 -7.9894027E-03 -9.7122863E-03  7.6836007E-01  0.0000000E+00
  3.0000000E+01  6.2326282E-01 -1.4875979E-02 -9.8981840E-03  7.6305177E-01  0.0000000E+00
  3.0000000E+01  2.3208831E-01  4.1947223E-03  6.8554683E-03  7.8455504E-01  0.0000000E+00
  3.0000000E+01  5.4093367E-01 -7.4153885E-03 -7.0901214E-03  7.6798702E-01  0.0000000E+00
  3.0000000E+01  6.2989087E-01 -1.6027031E-02 -8.0152722E-03  7.6290446E-01  0.0000000E+00
  3.0000000E+01  2.3559318E-01  3.1355286E-03  6.5447927E-03  7.8378561E-01  0.0000000E+00
  3.0000000E+01  5.4357892E-01 -6.9879001E-03 -4.4940481E-03  7.6761626E-01  0.0000000E+00
  3.0000000E+01  6.3465776E-01 -1.7021988E-02 -6.2173844E-03  7.6276157E-01  0.0000000E+00
  3.0000000E+01  2.3958661E-01  1.7387536E-03  7.2054081E-03  7.8295104E-01  0.0000000E+00
  3.0000000E+01  5.4625042E-01 -6.7394415E-03 -2.1088088E-03  7.6725557E-01  0.0000000E+00
  3.0000000E+01  6.3764913E-01 -1.7874294E-02 -4.4611668E-03  7.6261811E-01  0.0000000E+00
  3.0000000E+01  2.4381385E-01  9.7916784E-05  8.6635380E-03  7.8205531E-01  0.0000000E+00
  3.0000000E+01  5.4905695E-01 -6.6733849E-03 -1.3470106E-04  7.6690954E-01  0.0000000E+00
  3.0000000E+01  6.3922070E-01 -1.8600449E-02 -2.7505648E-03  7.6247181E-01  0.0000000E+00
  3.0000000E+01  2.4795699E-01 -1.6660965E-03  1.0701782E-02  7.8111324E-01  0.0000000E+00
  3.0000000E+01  5.5195724E-01 -6.7694504E-03  1.2597431E-03  7.6657844E-01  0.0000000E+00
  3.0000000E+01  6.3994235E-01 -1.9220715E-02 -1.1409349E-03  7.6232283E-01  0.0000000E+00
  3.0000000E+01  2.5174658E-01 -3.4106479E-03  1.3092275E-02  7.8013979E-01  0.0000000E+00
  3.0000000E+01  5.5478807E-01 -6.9949016E-03  1.9825589E-03  7.6625807E-01  0.0000000E+00
  3.0000000E+01  6.4050573E-01 -1.9758802E-02  2.7900763E-04  7.6217301E-01  0.0000000E+00
  3.0000000E+01  2.5506887E-01 -4.9880449E-03  1.5624830E-02  7.7914224E-01  0.0000000E+00
