          atime            Tm             uf             Tx             Ty             Tz 
  3.0000000E+01  6.8958125E-04  2.6262204E-02  6.5096272E-04  6.5529616E-07  2.2686339E-04
  3.0000000E+01  1.4127322E-03  3.7586205E-02  1.4092611E-03 -5.3219107E-08 -9.8408183E-05
  3.0000000E+01  1.5038474E-03  3.8779432E-02  1.4829196E-03 -4.2572642E-08 -2.5068870E-04
  3.0000000E+01 -7.1779607E-05 -2.7336745E-03 -6.7759743E-05 -6.8210817E-08 -2.3614570E-05
  3.0000000E+01 -1.5041739E-04 -4.0019038E-03 -1.5004780E-04  5.6663808E-09  1.0477783E-05
  3.0000000E+01 -1.6011865E-04 -4.1289500E-03 -1.5789042E-04  4.5328232E-09  2.6691498E-05
  3.0000000E+01 -3.3266780E-05 -1.2669413E-03 -3.1403745E-05 -3.1612799E-08 -1.0944344E-05
  3.0000000E+01 -6.3015511E-05 -1.6765483E-03 -6.2860680E-05  2.3738605E-09  4.3895381E-06
  3.0000000E+01 -6.7079739E-05 -1.7297728E-03 -6.6146246E-05  1.8989705E-09  1.1182074E-05
  3.0000000E+01  4.1867630E-05  1.5944985E-03  3.9522923E-05  3.9786026E-08  1.3773914E-05
  3.0000000E+01  8.7195711E-05  2.3198705E-03  8.6981469E-05 -3.2847540E-09 -6.0738838E-06
  3.0000000E+01  9.2819457E-05  2.3935181E-03  9.1527765E-05 -2.6276400E-09 -1.5472840E-05
  3.0000000E+01  2.2567159E-05  8.5945398E-04  2.1303334E-05  2.1445149E-08  7.4243061E-06
  3.0000000E+01  4.2012692E-05  1.1177614E-03  4.1909465E-05 -1.5826622E-09 -2.9265225E-06
  3.0000000E+01  4.4722328E-05  1.1532464E-03  4.4099965E-05 -1.2660512E-09 -7.4551333E-06
  3.0000000E+01 -1.9496363E-05 -7.4250493E-04 -1.8404511E-05 -1.8527029E-08 -6.4140535E-06
  3.0000000E+01 -4.2898203E-05 -1.1413208E-03 -4.2792801E-05  1.6160203E-09  2.9882055E-06
  3.0000000E+01 -4.5664952E-05 -1.1775536E-03 -4.5029470E-05  1.2927360E-09  7.6122669E-06
  3.0000000E+01 -2.2951835E-05 -8.7410406E-04 -2.1666466E-05 -2.1810699E-08 -7.5508594E-06
  3.0000000E+01 -4.4366870E-05 -1.1803951E-03 -4.4257859E-05  1.6713466E-09  3.0905100E-06
  3.0000000E+01 -4.7228341E-05 -1.2178685E-03 -4.6571103E-05  1.3369943E-09  7.8728812E-06
  3.0000000E+01  4.3517109E-06  1.6573177E-04  4.1080026E-06  4.1353495E-09  1.4316571E-06
  3.0000000E+01  1.3238904E-05  3.5222537E-04  1.3206375E-05 -4.9872340E-10 -9.2219631E-07
  3.0000000E+01  1.4092756E-05  3.6340727E-04  1.3896638E-05 -3.9895395E-10 -2.3492375E-06
  3.0000000E+01  1.8206622E-05  6.9338605E-04  1.7186999E-05  1.7301412E-08  5.9897451E-06
  3.0000000E+01  3.6318609E-05  9.6626851E-04  3.6229373E-05 -1.3681601E-09 -2.5298837E-06
  3.0000000E+01  3.8661002E-05  9.9694408E-04  3.8122989E-05 -1.0944602E-09 -6.4447210E-06
  3.0000000E+01  3.6037657E-07  1.3724682E-05  3.4019444E-07  3.4245911E-10  1.1855927E-07
  3.0000000E+01 -4.2868156E-06 -1.1405213E-04 -4.2762828E-06  1.6148884E-10  2.9861125E-07
  3.0000000E+01 -4.5632967E-06 -1.1767288E-04 -4.4997930E-06  1.2918306E-10  7.6069351E-07
  3.0000000E+01 -1.2047127E-05 -4.5880616E-04 -1.1372454E-05 -1.1448160E-08 -3.9633505E-06
  3.0000000E+01 -2.2229612E-05 -5.9142612E-04 -2.2174993E-05  8.3741282E-10  1.5484716E-06
  3.0000000E+01 -2.3663326E-05 -6.1020179E-04 -2.3334023E-05  6.6988867E-10  3.9446347E-06
  3.0000000E+01  7.7485539E-06  2.9509808E-04  7.3146126E-06  7.3633058E-09  2.5491749E-06
  3.0000000E+01  1.4823584E-05  3.9438631E-04  1.4787162E-05 -5.5841997E-10 -1.0325821E-06
  3.0000000E+01  1.5779641E-05  4.0690667E-04  1.5560049E-05 -4.4670824E-10 -2.6304383E-06
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  3.0000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
