          atime             Tm             uf             yp             Tx             Ty
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  2.0423629E-18
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  2.5374614E-18
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  2.3375482E-18
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  2.0423594E-18
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7619034E-03  4.1975033E-02  6.1086373E-03  1.7619034E-03  0.0000000E+00
  4.4650292E+00  1.7484275E-03  4.1814202E-02  6.1321334E-03  1.7483761E-03  6.3285909E-08
  4.4650292E+00  1.7470031E-03  4.1797166E-02  6.1346326E-03  1.7461090E-03 -3.8785970E-08
  4.4650292E+00  1.7436203E-03  4.1756679E-02  6.1405807E-03  1.7409925E-03 -4.5194747E-08
  4.4650292E+00  1.7370446E-03  4.1677868E-02  6.1521921E-03  1.7321388E-03  2.8847142E-08
  4.4650292E+00  1.7261954E-03  4.1547509E-02  6.1714953E-03  1.7190775E-03 -1.0456011E-08
  4.4650292E+00  1.7096678E-03  4.1348130E-02  6.2012541E-03  1.7012625E-03 -3.5511766E-08
  4.4650292E+00  1.6877544E-03  4.1082286E-02  6.2413832E-03  1.6798197E-03 -4.5971667E-09
  4.4650292E+00  1.6628173E-03  4.0777652E-02  6.2880108E-03  1.6573096E-03 -5.8482133E-08
  4.4650292E+00  1.6406632E-03  4.0505113E-02  6.3303144E-03  1.6384658E-03  4.7640232E-08
  4.4650292E+00  1.6286916E-03  4.0357049E-02  6.3535443E-03  1.6285851E-03  1.1794895E-09
  4.4650292E+00  1.6316294E-03  4.0393429E-02  6.3478218E-03  1.6308051E-03  1.2730857E-09
  4.4650292E+00  1.6485267E-03  4.0602064E-02  6.3151990E-03  1.6446313E-03  4.7607165E-08
  4.4650292E+00  1.6732995E-03  4.0905979E-02  6.2682843E-03  1.6660977E-03 -5.8497817E-08
  4.4650292E+00  1.6984529E-03  4.1212289E-02  6.2216947E-03  1.6896265E-03 -4.6086937E-09
  4.4650292E+00  1.7189381E-03  4.1460078E-02  6.1845098E-03  1.7106778E-03 -3.5521276E-08
  4.4650292E+00  1.7333245E-03  4.1633214E-02  6.1587908E-03  1.7271366E-03 -1.0466145E-08
  4.4650292E+00  1.7419871E-03  4.1737119E-02  6.1434585E-03  1.7383277E-03  2.8864364E-08
  4.4650292E+00  1.7466464E-03  4.1792899E-02  6.1352588E-03  1.7451240E-03 -4.5189134E-08
  4.4650292E+00  1.7484214E-03  4.1814129E-02  6.1321439E-03  1.7481630E-03 -3.8785437E-08
  4.4650292E+00  1.7484275E-03  4.1814202E-02  6.1321334E-03  1.7483761E-03  6.3285909E-08
  4.4650292E+00  1.7412973E-03  4.1728854E-02  6.1446753E-03  1.7411989E-03 -5.6224568E-09
  4.4650292E+00  1.7366349E-03  4.1672952E-02  6.1529180E-03  1.7349545E-03 -3.3842152E-09
  4.4650292E+00  1.7259693E-03  4.1544787E-02  6.1718997E-03  1.7209356E-03  8.8506201E-10
  4.4650292E+00  1.7068965E-03  4.1314604E-02  6.2062863E-03  1.6971628E-03  4.7667790E-11
  4.4650292E+00  1.6760402E-03  4.0939470E-02  6.2631552E-03  1.6611875E-03 -2.0957863E-09
  4.4650292E+00  1.6303011E-03  4.0376987E-02  6.3504059E-03  1.6116003E-03 -2.1506502E-09
  4.4650292E+00  1.5693321E-03  3.9614796E-02  6.4725881E-03  1.5503114E-03 -1.6545801E-09
  4.4650292E+00  1.4992070E-03  3.8719594E-02  6.6222351E-03  1.4849220E-03  1.8714527E-09
  4.4650292E+00  1.4354887E-03  3.7887843E-02  6.7676128E-03  1.4293595E-03  5.7744564E-09
  4.4650292E+00  1.3998774E-03  3.7414936E-02  6.8531523E-03  1.3995427E-03 -1.5042997E-08
  4.4650292E+00  1.4081312E-03  3.7525074E-02  6.8330379E-03  1.4058915E-03 -1.5056603E-08
  4.4650292E+00  1.4572461E-03  3.8173893E-02  6.7169009E-03  1.4468667E-03  5.7552199E-09
  4.4650292E+00  1.5277617E-03  3.9086592E-02  6.5600566E-03  1.5096797E-03  1.8179320E-09
  4.4650292E+00  1.5982738E-03  3.9978417E-02  6.4137171E-03  1.5776552E-03 -1.6858414E-09
  4.4650292E+00  1.6555695E-03  4.0688690E-02  6.3017575E-03  1.6375767E-03 -2.1667329E-09
  4.4650292E+00  1.6958824E-03  4.1181093E-02  6.2264073E-03  1.6831992E-03 -2.1041748E-09
  4.4650292E+00  1.7210678E-03  4.1485754E-02  6.1806821E-03  1.7139227E-03  4.5642133E-11
  4.4650292E+00  1.7349177E-03  4.1652344E-02  6.1559623E-03  1.7320494E-03  8.9435585E-10
  4.4650292E+00  1.7409312E-03  4.1724467E-02  6.1453213E-03  1.7404580E-03 -3.3842729E-09
  4.4650292E+00  1.7412973E-03  4.1728854E-02  6.1446753E-03  1.7411989E-03 -5.6224568E-09
  4.4650292E+00  1.7371226E-03  4.1678803E-02  6.1520542E-03  1.7369545E-03 -4.4270708E-10
  4.4650292E+00  1.7289966E-03  4.1581205E-02  6.1664941E-03  1.7262166E-03 -2.9010363E-10
